"Year","Monthly_MSL","Linear_Trend","High_Conf","Low_Conf"
1872-01-01,-0.366,-0.347,-0.339,-0.354
1872-02-01,-0.284,-0.346,-0.339,-0.354
1872-03-01,-0.403,-0.346,-0.339,-0.354
1872-04-01,-0.401,-0.346,-0.338,-0.353
1872-05-01,-0.415,-0.346,-0.338,-0.353
1872-06-01,-0.344,-0.345,-0.338,-0.353
1872-07-01,-0.339,-0.345,-0.338,-0.353
1872-08-01,-0.362,-0.345,-0.337,-0.352
1872-09-01,-0.429,-0.345,-0.337,-0.352
1872-10-01,-0.319,-0.344,-0.337,-0.352
1872-11-01,-0.336,-0.344,-0.337,-0.352
1872-12-01,-0.29,-0.344,-0.336,-0.351
1873-01-01,-0.336,-0.344,-0.336,-0.351
1873-02-01,-0.32,-0.343,-0.336,-0.351
1873-03-01,-0.434,-0.343,-0.336,-0.351
1873-04-01,-0.27,-0.343,-0.335,-0.35
1873-05-01,-0.308,-0.343,-0.335,-0.35
1873-06-01,-0.359,-0.342,-0.335,-0.35
1873-07-01,-0.329,-0.342,-0.335,-0.35
1873-08-01,-0.325,-0.342,-0.334,-0.349
1873-09-01,-0.352,-0.342,-0.334,-0.349
1873-10-01,-0.304,-0.341,-0.334,-0.349
1873-11-01,-0.406,-0.341,-0.334,-0.349
1873-12-01,-0.327,-0.341,-0.334,-0.348
1874-01-01,-0.287,-0.341,-0.333,-0.348
1874-02-01,-0.326,-0.34,-0.333,-0.348
1874-03-01,-0.446,-0.34,-0.333,-0.348
1874-04-01,-0.432,-0.34,-0.333,-0.347
1874-05-01,-0.357,-0.34,-0.332,-0.347
1874-06-01,-0.356,-0.34,-0.332,-0.347
1874-07-01,-0.366,-0.339,-0.332,-0.347
1874-08-01,-0.346,-0.339,-0.332,-0.346
1874-09-01,-0.337,-0.339,-0.331,-0.346
1874-10-01,-0.447,-0.339,-0.331,-0.346
1874-11-01,-0.443,-0.338,-0.331,-0.346
1874-12-01,-0.498,-0.338,-0.331,-0.345
1875-01-01,-0.323,-0.338,-0.33,-0.345
1875-02-01,-0.455,-0.338,-0.33,-0.345
1875-03-01,-0.336,-0.337,-0.33,-0.345
1875-04-01,-0.352,-0.337,-0.33,-0.344
1875-05-01,-0.424,-0.337,-0.329,-0.344
1875-06-01,-0.414,-0.337,-0.329,-0.344
1875-07-01,-0.363,-0.336,-0.329,-0.344
1875-08-01,-0.328,-0.336,-0.329,-0.343
1875-09-01,-0.395,-0.336,-0.329,-0.343
1875-10-01,-0.368,-0.336,-0.328,-0.343
1875-11-01,-0.37,-0.335,-0.328,-0.343
1875-12-01,-0.327,-0.335,-0.328,-0.342
1876-01-01,-0.485,-0.335,-0.328,-0.342
1876-02-01,-0.384,-0.335,-0.327,-0.342
1876-03-01,-0.33,-0.334,-0.327,-0.342
1876-04-01,-0.328,-0.334,-0.327,-0.341
1876-05-01,-0.378,-0.334,-0.327,-0.341
1876-06-01,-0.368,-0.334,-0.326,-0.341
1876-07-01,-0.351,-0.333,-0.326,-0.341
1876-08-01,-0.343,-0.333,-0.326,-0.34
1876-09-01,-0.288,-0.333,-0.326,-0.34
1876-10-01,-0.444,-0.333,-0.325,-0.34
1876-11-01,-0.159,-0.332,-0.325,-0.34
1876-12-01,-0.324,-0.332,-0.325,-0.339
1877-01-01,-0.409,-0.332,-0.325,-0.339
1877-02-01,-0.339,-0.332,-0.324,-0.339
1877-03-01,-0.339,-0.331,-0.324,-0.339
1877-04-01,-0.27,-0.331,-0.324,-0.338
1877-05-01,-0.314,-0.331,-0.324,-0.338
1877-06-01,-0.371,-0.331,-0.324,-0.338
1877-07-01,-0.329,-0.331,-0.323,-0.338
1877-08-01,-0.27,-0.33,-0.323,-0.337
1877-09-01,-0.325,-0.33,-0.323,-0.337
1877-10-01,-0.279,-0.33,-0.323,-0.337
1877-11-01,-0.23,-0.33,-0.322,-0.337
1877-12-01,-0.303,-0.329,-0.322,-0.336
1878-01-01,-0.278,-0.329,-0.322,-0.336
1878-02-01,-0.134,-0.329,-0.322,-0.336
1878-03-01,-0.254,-0.329,-0.321,-0.336
1878-04-01,-0.218,-0.328,-0.321,-0.335
1878-05-01,-0.244,-0.328,-0.321,-0.335
1878-06-01,-0.283,-0.328,-0.321,-0.335
1878-07-01,-0.314,-0.328,-0.32,-0.335
1878-08-01,-0.276,-0.327,-0.32,-0.334
1878-09-01,-0.307,-0.327,-0.32,-0.334
1878-10-01,-0.316,-0.327,-0.32,-0.334
1878-11-01,-0.361,-0.327,-0.32,-0.334
1878-12-01,-0.233,-0.326,-0.319,-0.333
1893-01-01,-0.256,-0.285,-0.279,-0.291
1893-02-01,-0.372,-0.285,-0.279,-0.291
1893-03-01,-0.275,-0.285,-0.279,-0.291
1893-04-01,-0.258,-0.284,-0.278,-0.291
1893-05-01,-0.263,-0.284,-0.278,-0.29
1893-06-01,-0.237,-0.284,-0.278,-0.29
1893-07-01,-0.305,-0.284,-0.278,-0.29
1893-08-01,-0.246,-0.284,-0.277,-0.29
1893-09-01,-0.307,-0.283,-0.277,-0.289
1893-10-01,-0.258,-0.283,-0.277,-0.289
1893-11-01,-0.272,-0.283,-0.277,-0.289
1893-12-01,-0.357,-0.283,-0.276,-0.289
1894-01-01,-0.183,-0.282,-0.276,-0.288
1894-02-01,-0.266,-0.282,-0.276,-0.288
1894-03-01,-0.281,-0.282,-0.276,-0.288
1894-04-01,-0.182,-0.282,-0.276,-0.288
1894-05-01,-0.244,-0.281,-0.275,-0.287
1894-06-01,-0.319,-0.281,-0.275,-0.287
1894-07-01,-0.308,-0.281,-0.275,-0.287
1894-08-01,-0.295,-0.281,-0.275,-0.287
1894-09-01,-0.279,-0.28,-0.274,-0.286
1894-10-01,-0.273,-0.28,-0.274,-0.286
1894-11-01,-0.388,-0.28,-0.274,-0.286
1894-12-01,-0.242,-0.28,-0.274,-0.286
1895-01-01,-0.311,-0.279,-0.273,-0.285
1895-02-01,-0.384,-0.279,-0.273,-0.285
1895-03-01,-0.382,-0.279,-0.273,-0.285
1895-04-01,-0.27,-0.279,-0.273,-0.285
1895-05-01,-0.314,-0.278,-0.272,-0.284
1895-06-01,-0.258,-0.278,-0.272,-0.284
1895-07-01,-0.256,-0.278,-0.272,-0.284
1895-08-01,-0.307,-0.278,-0.272,-0.284
1895-09-01,-0.291,-0.277,-0.271,-0.283
1895-10-01,-0.313,-0.277,-0.271,-0.283
1895-11-01,-0.284,-0.277,-0.271,-0.283
1895-12-01,-0.178,-0.277,-0.271,-0.283
1896-01-01,-0.198,-0.276,-0.27,-0.282
1896-02-01,-0.311,-0.276,-0.27,-0.282
1896-03-01,-0.43,-0.276,-0.27,-0.282
1896-04-01,-0.31,-0.276,-0.27,-0.282
1896-05-01,-0.253,-0.275,-0.27,-0.281
1896-06-01,-0.277,-0.275,-0.269,-0.281
1896-07-01,-0.308,-0.275,-0.269,-0.281
1896-08-01,-0.282,-0.275,-0.269,-0.281
1896-09-01,-0.264,-0.275,-0.269,-0.28
1896-10-01,-0.185,-0.274,-0.268,-0.28
1896-11-01,-0.254,-0.274,-0.268,-0.28
1896-12-01,-0.181,-0.274,-0.268,-0.28
1897-01-01,-0.302,-0.274,-0.268,-0.279
1897-02-01,-0.147,-0.273,-0.267,-0.279
1897-03-01,-0.284,-0.273,-0.267,-0.279
1897-04-01,-0.34,-0.273,-0.267,-0.279
1897-05-01,-0.269,-0.273,-0.267,-0.278
1897-06-01,-0.237,-0.272,-0.266,-0.278
1897-07-01,-0.192,-0.272,-0.266,-0.278
1897-08-01,-0.215,-0.272,-0.266,-0.278
1897-09-01,-0.249,-0.272,-0.266,-0.277
1897-10-01,-0.164,-0.271,-0.265,-0.277
1897-11-01,-0.315,-0.271,-0.265,-0.277
1897-12-01,-0.272,-0.271,-0.265,-0.277
1898-01-01,-0.241,-0.271,-0.265,-0.276
1898-02-01,-0.232,-0.27,-0.265,-0.276
1898-03-01,-0.266,-0.27,-0.264,-0.276
1898-04-01,-0.194,-0.27,-0.264,-0.276
1898-05-01,-0.171,-0.27,-0.264,-0.275
1898-06-01,-0.243,-0.269,-0.264,-0.275
1898-07-01,-0.238,-0.269,-0.263,-0.275
1898-08-01,-0.276,-0.269,-0.263,-0.275
1898-09-01,-0.276,-0.269,-0.263,-0.274
1898-10-01,-0.225,-0.268,-0.263,-0.274
1898-11-01,-0.245,-0.268,-0.262,-0.274
1898-12-01,-0.315,-0.268,-0.262,-0.274
1899-01-01,-0.311,-0.268,-0.262,-0.273
1899-02-01,-0.25,-0.267,-0.262,-0.273
1899-03-01,-0.202,-0.267,-0.261,-0.273
1899-04-01,-0.258,-0.267,-0.261,-0.273
1899-05-01,-0.211,-0.267,-0.261,-0.272
1899-06-01,-0.283,-0.266,-0.261,-0.272
1899-07-01,-0.287,-0.266,-0.26,-0.272
1899-08-01,-0.209,-0.266,-0.26,-0.272
1899-09-01,-0.243,-0.266,-0.26,-0.271
1899-10-01,-0.273,-0.266,-0.26,-0.271
1899-11-01,-0.184,-0.265,-0.26,-0.271
1899-12-01,-0.245,-0.265,-0.259,-0.271
1900-01-01,-0.372,-0.265,-0.259,-0.27
1900-02-01,-0.339,-0.265,-0.259,-0.27
1900-03-01,-0.336,-0.264,-0.259,-0.27
1900-04-01,-0.325,-0.264,-0.258,-0.27
1900-05-01,-0.266,-0.264,-0.258,-0.269
1900-06-01,-0.246,-0.264,-0.258,-0.269
1900-07-01,-0.275,-0.263,-0.258,-0.269
1900-08-01,-0.24,-0.263,-0.257,-0.269
1900-09-01,-0.267,-0.263,-0.257,-0.268
1900-10-01,-0.246,-0.263,-0.257,-0.268
1900-11-01,-0.284,-0.262,-0.257,-0.268
1900-12-01,-0.254,-0.262,-0.256,-0.268
1901-01-01,-0.195,-0.262,-0.256,-0.268
1901-02-01,-0.43,-0.262,-0.256,-0.267
1901-03-01,-0.278,-0.261,-0.256,-0.267
1901-04-01,-0.09,-0.261,-0.255,-0.267
1901-05-01,-0.159,-0.261,-0.255,-0.267
1901-06-01,-0.206,-0.261,-0.255,-0.266
1901-07-01,-0.198,-0.26,-0.255,-0.266
1901-08-01,-0.191,-0.26,-0.255,-0.266
1901-09-01,-0.176,-0.26,-0.254,-0.266
1901-10-01,-0.295,-0.26,-0.254,-0.265
1901-11-01,-0.217,-0.259,-0.254,-0.265
1901-12-01,-0.196,-0.259,-0.254,-0.265
1902-01-01,-0.25,-0.259,-0.253,-0.265
1902-02-01,-0.208,-0.259,-0.253,-0.264
1902-03-01,-0.165,-0.258,-0.253,-0.264
1902-04-01,-0.227,-0.258,-0.253,-0.264
1902-05-01,-0.284,-0.258,-0.252,-0.264
1902-06-01,-0.258,-0.258,-0.252,-0.263
1902-07-01,-0.208,-0.257,-0.252,-0.263
1902-08-01,-0.209,-0.257,-0.252,-0.263
1902-09-01,-0.191,-0.257,-0.251,-0.263
1902-10-01,-0.191,-0.257,-0.251,-0.262
1902-11-01,-0.135,-0.256,-0.251,-0.262
1902-12-01,-0.156,-0.256,-0.251,-0.262
1903-01-01,-0.29,-0.256,-0.25,-0.262
1903-02-01,-0.357,-0.256,-0.25,-0.261
1903-03-01,-0.229,-0.256,-0.25,-0.261
1903-04-01,-0.133,-0.255,-0.25,-0.261
1903-05-01,-0.244,-0.255,-0.25,-0.261
1903-06-01,-0.115,-0.255,-0.249,-0.26
1903-07-01,-0.217,-0.255,-0.249,-0.26
1903-08-01,-0.188,-0.254,-0.249,-0.26
1903-09-01,-0.243,-0.254,-0.249,-0.26
1903-10-01,-0.124,-0.254,-0.248,-0.259
1903-11-01,-0.251,-0.254,-0.248,-0.259
1903-12-01,-0.336,-0.253,-0.248,-0.259
1904-01-01,-0.262,-0.253,-0.248,-0.259
1904-02-01,-0.366,-0.253,-0.247,-0.258
1904-03-01,-0.287,-0.253,-0.247,-0.258
1904-04-01,-0.282,-0.252,-0.247,-0.258
1904-05-01,-0.269,-0.252,-0.247,-0.258
1904-06-01,-0.225,-0.252,-0.246,-0.257
